route_id,route_shor,trip_id,trip_heads,trip_short,direction_,agency_id,headway_se,O_TERMINAL,LEN_KM,STD_FARE,route_time_s,buses,standard_buses
CTA_342,342,CTA_342_R,Qalaa,Al Magzar (Mariouteya)-Qalaa,1,CTA,1426.0,Al Magzar (Mariouteya),19.730548157798342,3.0,9395.499122761114,16.0,16.0
CTA_35,35,CTA_35_R,Abd Al Moneim Riad,Hegaz Square-Abd Al Moneim Riad,1,CTA,1526.0,Hegaz Square,17.42401464121568,3.0,8297.149829150325,13.0,13.0
CTA_35,35,CTA_35_O,Hegaz Square,Abd Al Moneim Riad-Hegaz Square,0,CTA,1526.0,Abd Al Moneim Riad,17.508823983908254,3.0,8337.5352304325,13.0,13.0
CTA_357-1095,357-1095,CTA_357-1095_O,Mena House,Hegaz Square-Mena House,0,CTA,8337.0,Hegaz Square,35.832906479470665,4.0,17063.288799747934,5.0,5.0
CTA_357-1095,357-1095,CTA_357-1095_R,Hegaz Square,Mena House-Hegaz Square,1,CTA,8337.0,Mena House,33.94979999022784,4.0,16166.571423918018,5.0,5.0
CTA_35S,35S,CTA_35S_R,Abd Al Moneim Riad,Masaken Helmeyet Al Zaitoun-Abd Al Moneim Riad,1,CTA,2424.0,Masaken Helmeyet Al Zaitoun,20.539949520065235,3.0,9780.928342888206,10.0,10.0
CTA_35S,35S,CTA_35S_O,Masaken Helmeyet Al Zaitoun,Abd Al Moneim Riad-Masaken Helmeyet Al Zaitoun,0,CTA,2424.0,Abd Al Moneim Riad,21.87873888881398,3.0,10418.447089911419,11.0,10.0
CTA_366-1054,366-1054,CTA_366-1054_R,Ahmed Helmy,Cairo Airport-Ahmed Helmy,1,CTA,4213.0,Cairo Airport,31.761625477123037,3.0,15124.58356053478,9.0,9.0
CTA_366-1054,366-1054,CTA_366-1054_O,Cairo Airport,Ahmed Helmy-Cairo Airport,0,CTA,4213.0,Ahmed Helmy,30.53223355273345,3.0,14539.158834634976,9.0,9.0
CTA_38x,38x,CTA_38x_O,Amiriya,Abd Al Moneim Riad-Amiriya,0,CTA,5754.0,Abd Al Moneim Riad,12.871594397049137,3.0,6129.330665261494,3.0,3.0
CTA_3G,3G,CTA_3G_O,Koleyet Al Banat (Azhar University),Darassa-Koleyet Al Banat (Azhar University),0,CTA,4792.0,Darassa,10.575491576409698,3.0,5035.948369718903,3.0,3.0
CTA_3G,3G,CTA_3G_R,Darassa,Koleyet Al Banat (Azhar University)-Darassa,1,CTA,4792.0,Koleyet Al Banat (Azhar University),11.7571904908049,3.0,5598.662138478524,3.0,3.0
CTA_400-1036,400-1036,CTA_400-1036_O,Cairo Airport,Abd Al Moneim Riad-Cairo Airport,0,CTA,8208.0,Abd Al Moneim Riad,25.93520836949329,3.0,12350.099223568232,4.0,4.0
CTA_400-1036,400-1036,CTA_400-1036_R,Abd Al Moneim Riad,Cairo Airport-Abd Al Moneim Riad,1,CTA,8208.0,Cairo Airport,24.939536738932052,3.0,11875.969875681929,4.0,4.0
CTA_406,406,CTA_406_O,Matbaa,Ahmed Helmy-Matbaa,0,CTA,10586.0,Ahmed Helmy,22.74478479565193,3.0,10830.849902691396,3.0,3.0
