InputID,TargetID,Distance
Police Academy (East),El-Obour,20784.1002536
Police Academy (East),El-Teraa El-,21486.7639522
Police Academy (East),El Mizalat,22698.9346585
Police Academy (East),Fom El-Khalig,23746.1492262
Police Academy (East),Athar an Naby,24647.8707772
Police Academy (East),Tiba,26055.9552499
Police Academy (East),Imbaba,26880.3494356
Police Academy (East),Badr,27012.2727758
Police Academy (East),El-Mounib,29270.4392002
Police Academy (East),Giza,29646.2133379
Police Academy (East),Helwan,30431.6481604
Alf Masnaa,Katameya,4462.46996133
Alf Masnaa,Cairo,6818.91780763
Alf Masnaa,Maadi,7620.8985311
Alf Masnaa,Al Amal,11561.575082
Alf Masnaa,Al-Mostaqbal,13835.0363584
Alf Masnaa,Nasr,21238.3985512
Alf Masnaa,Fateh,21423.372809
Alf Masnaa,El-Obour,21449.0851026
Alf Masnaa,El Basatin,23683.0595965
Alf Masnaa,Gesr Al Suez,23821.5735919
Alf Masnaa,Helwan,25257.3542346
Alf Masnaa,Al Sawah,25738.9983647
Alf Masnaa,Al Mataria,26537.393141
Alf Masnaa,Al Amiriyyah,26739.325063
Alf Masnaa,Athar an Naby,27629.0857027
Alf Masnaa,Port Said,28327.8287856
Alf Masnaa,Fom El-Khalig,28434.0164865
Alf Masnaa,El-Teraa El-,29660.4589112
Alf Masnaa,Badr,29955.6245297
Alf Masnaa,El Mizalat,30657.4055007
Alf Masnaa,El-Mounib,32442.6342559
Alf Masnaa,Tiba,32729.5130871
Alf Masnaa,Imbaba,33372.4323547
Alf Masnaa,Giza,33613.8363388
Alf Maskan,Gesr Al Suez,2604.46082082
Alf Maskan,Al Mataria,4538.39925142
Alf Maskan,Al Sawah,4555.52603922
Alf Maskan,Al Amiriyyah,5362.02758868
Alf Maskan,Port Said,7386.48075688
Alf Maskan,El-Teraa El-,9131.53895414
Alf Maskan,Fateh,9789.61885405
Alf Maskan,Nasr,10092.3010334
Alf Maskan,Al-Mostaqbal,10434.4634881
Alf Maskan,El Mizalat,10518.8710683
Alf Maskan,Tiba,15554.8835936
Alf Maskan,Imbaba,16539.7889764
Alf Maskan,Fom El-Khalig,17271.2791818
Alf Maskan,El Basatin,18220.4225246
Alf Maskan,Al Amal,19115.7074165
Alf Maskan,Maadi,19544.9578273
Alf Maskan,Cairo,20584.2255445
Alf Maskan,Athar an Naby,20651.7092834
Alf Maskan,El-Obour,21488.4560701
Alf Maskan,Katameya,21515.7246085
Alf Maskan,Badr,22423.6142051
Alf Maskan,Giza,22891.3953185
Alf Maskan,El-Mounib,23817.0960236
Alf Maskan,Helwan,35954.3899346
Rehab Square,Al-Mostaqbal,9113.41242198
Rehab Square,Katameya,10895.6727865
Rehab Square,Maadi,11881.9589977
Rehab Square,Cairo,12110.9230937
Rehab Square,Al Amal,15146.2858748
Rehab Square,Gesr Al Suez,15868.6864208
Rehab Square,Nasr,18642.3843164
Rehab Square,Fateh,18664.8447013
Rehab Square,Al Sawah,20118.9858047
Rehab Square,Al Mataria,20686.7154258
Rehab Square,Al Amiriyyah,21181.8601499
Rehab Square,Port Said,23135.8878764
Rehab Square,El-Obour,24194.1483813
Rehab Square,El Basatin,24383.031701
Rehab Square,El-Teraa El-,24775.0442403
Rehab Square,El Mizalat,26031.0845688
Rehab Square,Fom El-Khalig,27439.9507452
Rehab Square,Athar an Naby,28306.878634
Rehab Square,Tiba,29604.257351
Rehab Square,Imbaba,30447.5499172
Rehab Square,Badr,30677.0389481
Rehab Square,Helwan,32822.763659
Rehab Square,El-Mounib,32949.7644375
